family,metric,label,higher_is_better,reference,domain,sources_in_cohort,n_paired,shipped__mean,shipped__marginal_mean,shipped__ci_low,shipped__ci_high,shipped__se,shipped__n,shipped__diff_vs_ref,shipped__diff_ci_low,shipped__diff_ci_high,shipped__p,baseline__mean,baseline__marginal_mean,baseline__ci_low,baseline__ci_high,baseline__se,baseline__n,baseline__diff_vs_ref,baseline__diff_ci_low,baseline__diff_ci_high,baseline__p,agentic-noval__mean,agentic-noval__marginal_mean,agentic-noval__ci_low,agentic-noval__ci_high,agentic-noval__se,agentic-noval__n,agentic-noval__diff_vs_ref,agentic-noval__diff_ci_low,agentic-noval__diff_ci_high,agentic-noval__p,agentic__mean,agentic__marginal_mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,shipped__q,shipped__fdr_family_n,agentic-noval__q,agentic-noval__fdr_family_n,agentic__q,agentic__fdr_family_n
discriminative,mean_margin,Mean margin (gold - degraded),True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.23929998887735437,0.23929998887735437,0.20072417985551874,0.27641776410176644,0.019470017298012496,198,-0.03315734373323506,-0.05490668796634669,-0.011360747949852684,0.004299570042995701,0.2724573326105894,0.2724573326105894,0.2367000114474866,0.30642348417246246,0.017723150328751002,198,,,,,0.27383452139313286,0.27383452139313286,0.24177116229686343,0.30552559842590327,0.016457641106254303,198,0.0013771887825434156,-0.018501350770844898,0.02113874234477972,0.8894110588941105,0.38521351351257616,0.38521351351257616,0.35242025548154854,0.41716327925041413,0.01626366091508816,198,0.1127561809019867,0.08934655145981908,0.1360933821321162,9.999000099990002e-05,0.007165950071659501,50,0.9264698530146984,50,0.00017855357321410717,50
discriminative,min_margin,Min margin over degradations,True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,-0.10676873850921413,-0.10676873850921413,-0.15038224447457216,-0.06611263562388137,0.02172215776251714,198,-0.06215690909322088,-0.08987307788488397,-0.03489244094281732,9.999000099990002e-05,-0.044611829415993245,-0.044611829415993245,-0.08132546270651272,-0.010348654023923385,0.017998048335955336,198,,,,,-0.023727638496958994,-0.023727638496958994,-0.0531718120542319,0.005514946490778792,0.01511806967433753,198,0.02088419091903428,-0.001715394407576949,0.044003853347813524,0.0715928407159284,0.034941447849090486,0.034941447849090486,0.0037890025655481887,0.06599697417840664,0.01577263375029847,198,0.07955327726508374,0.051604899201202044,0.10768596847427454,9.999000099990002e-05,0.00029408823823500005,50,0.11547232373536839,50,0.00017855357321410717,50
discriminative,rank_acc,Pairwise ranking accuracy,True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.7370670995670995,0.7370670995670995,0.7137080627705626,0.7588383838383839,0.01154962432669416,198,-0.03387445887445888,-0.05212842712842713,-0.01547573953823955,0.00029997000299970003,0.7709415584415584,0.7709415584415584,0.7498011363636363,0.791540404040404,0.010754093414792647,198,,,,,0.762463924963925,0.762463924963925,0.742027417027417,0.7826848845598846,0.010327902060777371,198,-0.008477633477633476,-0.02610028860028859,0.009559884559884562,0.34606539346065396,0.800937950937951,0.800937950937951,0.7830257936507936,0.8187053571428572,0.00918993974717286,198,0.0299963924963925,0.013347312409812406,0.046916035353535356,0.00039996000399960006,0.0006817500068175001,50,0.45534920192191314,50,0.0006450967806445162,50
discriminative,auc_good_vs_bad,AUC (good vs bad),True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.7374789562289561,0.7374789562289561,0.7050715488215489,0.768521148989899,0.01624174103190127,198,-0.04931257014590346,-0.07660020342312009,-0.021744353254769932,0.00039996000399960006,0.7867915263748597,0.7867915263748597,0.7563824003928169,0.8157617845117844,0.015143400138587535,198,,,,,0.7932449494949495,0.7932449494949495,0.7634680134680134,0.8217592592592592,0.01495766991892877,198,0.006453423120089784,-0.016835016835016835,0.030129419191919173,0.5927407259274072,0.8422769360269361,0.8422769360269361,0.8170244107744107,0.8661616161616161,0.012536561881371226,198,0.055485409652076316,0.03244248035914702,0.07852921576879908,9.999000099990002e-05,0.0008332500083325002,50,0.7056437213421515,50,0.00017855357321410717,50
discriminative,auc_gold_vs_degraded,AUC (gold vs all degraded),True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.7751683501683503,0.7751683501683503,0.7340067340067339,0.8138047138047138,0.020394780420705378,198,-0.04814814814814815,-0.07298190235690236,-0.023400673400673404,0.00029997000299970003,0.8233164983164982,0.8233164983164982,0.7872895622895624,0.8579987373737374,0.01804914616085677,198,,,,,0.8266835016835017,0.8266835016835017,0.7921717171717173,0.8595117845117846,0.017010755590658715,198,0.0033670033670033695,-0.020875420875420863,0.028619528619528618,0.7932206779322067,0.869023569023569,0.869023569023569,0.8375420875420876,0.8983186026936028,0.015306190506754159,198,0.0457070707070707,0.021717171717171715,0.07096170033670031,0.00019998000199980003,0.0006817500068175001,50,0.8621963890567464,50,0.0003333000033330001,50
discriminative,score_range,Score dynamic range (max-min),True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.7370667596475764,0.7370667596475764,0.7116144446404773,0.7620257308329847,0.0127620419340451,198,0.049572605099135525,0.02276592827782352,0.07673663951681547,0.0006999300069993001,0.6874941545484408,0.6874941545484408,0.6626690241024095,0.7116327168743687,0.012522390319255792,198,,,,,0.6394142166520543,0.6394142166520543,0.6081732083222593,0.6709893051827336,0.016040864373495906,198,-0.04807993789638643,-0.07310971620967978,-0.022399244117164513,0.00029997000299970003,0.7685229001516793,0.7685229001516793,0.7398984642228434,0.7965001178631262,0.014316131385838322,198,0.0810287456032387,0.05482778504384672,0.10615702340979978,9.999000099990002e-05,0.0013998600139986,50,0.0007142142928564287,50,0.00017855357321410717,50
discriminative,score_std,Score std across variants,True,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.26120435718662394,0.26120435718662394,0.25128707039565473,0.27118562671553,0.0050413018004072455,198,0.016778327513046715,0.006701433399766563,0.026930472904222222,0.0016998300169983002,0.24442602967357724,0.24442602967357724,0.23489829567410048,0.253657290717714,0.004811089112764909,198,,,,,0.22580613846045458,0.22580613846045458,0.21411093048547106,0.23744006712174653,0.0059340813255222054,198,-0.018619891213122672,-0.027821313019366883,-0.00915418199735367,0.00019998000199980003,0.2774596082679821,0.2774596082679821,0.26675092520476446,0.2879275320076886,0.005403169607346526,198,0.033033578594404804,0.022660805286787405,0.04323400683384535,9.999000099990002e-05,0.003268903878842885,50,0.0004999500049995,50,0.00017855357321410717,50
discriminative,saturation_rate,Saturation (degraded scoring >=0.8),False,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.10791245791245792,0.10791245791245792,0.08804713804713803,0.12912457912457911,0.010401516080119026,198,0.012626262626262631,-0.007912457912457909,0.03316498316498316,0.2343765623437656,0.0952861952861953,0.0952861952861953,0.07626262626262625,0.11515151515151514,0.009862805045684259,198,,,,,0.07626262626262627,0.07626262626262627,0.05892255892255893,0.09461279461279462,0.009053490825175039,198,-0.019023569023569022,-0.03838383838383838,0.00016835016835016554,0.0552944705529447,0.15067340067340068,0.15067340067340068,0.12845117845117843,0.17356902356902354,0.011661492541285276,198,0.05538720538720539,0.030972222222222224,0.08114478114478114,9.999000099990002e-05,0.30048277223559694,50,0.09533529405680122,50,0.00017855357321410717,50
discriminative,score__gold,Score: gold,,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",198,0.6394439021890793,0.6394439021890793,0.5963369009721261,0.6811003619329896,0.021731638076099735,198,-0.03452116863529161,-0.06034979844861329,-0.007788451893902936,0.010998900109989001,0.6739650708243711,0.6739650708243711,0.6303399286821573,0.7170067534446223,0.022143362909693865,198,,,,,0.66499193668497,0.66499193668497,0.6224401085439074,0.7073748881261395,0.021983993785241008,198,-0.00897313413940107,-0.034208010135172336,0.016300183057320013,0.48835116488351166,0.8139313213258126,0.8139313213258126,0.774232700737763,0.8512713604959367,0.019742392956785336,198,0.13996625050144168,0.10974978969646842,0.1709732331447232,9.999000099990002e-05,0.016174853102925,50,0.6260912370301431,50,0.00017855357321410717,50
discriminative,score__verbose_empty,Score: verbose-but-empty (hack probe),False,baseline,all,"['shipped', 'baseline', 'agentic-noval', 'agentic']",197,0.35756444429505996,0.3571251705122268,0.3263524739492639,0.38825583098768357,0.015789228922175467,198,0.039334681581014795,0.012050932901013322,0.06621763827864105,0.0045995400459954,0.31822976271404513,0.31822976271404513,0.2911292180860324,0.3467815249662693,0.014259668692093934,197,,,,,0.31397841025390893,0.3131378171900335,0.28770374259468023,0.3396831527083822,0.013293536371590288,198,-0.004251352460136155,-0.03333856559979704,0.024896839359664802,0.784021597840216,0.2909197780923787,0.290483544135071,0.2640849017065648,0.31802398514210395,0.013750866813264071,198,-0.027309984621666412,-0.05670488803640058,0.0024968271517195307,0.0775922407759224,0.007343015698430157,50,0.8621963890567464,50,0.09699030096990299,50
